HotelID,UserID,User,Country,Review,Rating
6306,176,Daria,Russia,Good,7.0
6306,4667,Huong,United States,Good,7.0
6306,233,Minh,Vietnam,Exceptional,10
6306,68,Paul,United Kingdom,Exceptional,10
6306,114920,Nosirkhodja,Uzbekistan,Good,7.0
6306,4133,Lý,Vietnam,Wonderful,9.0
6306,17946,Gennadii,Russia,Wonderful,9.0
6306,760,Đỗ,Vietnam,Wonderful,9.0
6306,766,Nguyễn,Vietnam,Very Good,8.0
6306,138,Nguyen,Vietnam,Very Good,8.0
6306,3131,Suleyman,Turkey,Very Good,8.0
6306,709,Polina,Russia,Very Good,8.0
6306,600,Nikolai,Russia,Wonderful,9.0
6306,27985,Youngha,Vietnam,Very Good,8.0
6306,23861,Suan,Vietnam,Very Good,8.0
6306,427,Tâm,Vietnam,Wonderful,9.0
6306,851,Tony,Belarus,Very Good,8.0
6306,630,Aleksandr,Russia,Very Good,8.0
6306,165,Hoàng,Vietnam,Very Good,8.0
6306,138,Nguyen,Vietnam,Very Good,8.0
6306,138,Nguyen,Vietnam,Wonderful,9.0
6306,4126,Khải,Vietnam,Good,7.0
6306,766,Nguyễn,Vietnam,Good,7.0
6306,418,Thuan,Vietnam,Wonderful,9.0
6306,766,Nguyễn,Vietnam,Very Good,8.0
6306,255,Tran,Vietnam,Wonderful,9.0
6306,3734,Son,Vietnam,Very Good,8.0
6306,3799,Phuc,Vietnam,Exceptional,10
6306,34621,Тимур,Russia,Exceptional,10
6306,5545,Jakub,Thailand,Exceptional,10
6306,1442,Khang,Vietnam,Exceptional,10
6306,4584,Tuấn,Vietnam,Exceptional,10
6306,331,Nhi,Vietnam,Exceptional,10
6306,2536,Cương,Vietnam,Fair,5.0
6306,19130,Quí,Vietnam,Exceptional,10
6306,1487,Võ,Vietnam,Exceptional,10
6306,15498,Hakan,Turkey,Very Poor,2.0
6306,581,Marina,Russia,Exceptional,10
6306,581,Marina,Russia,Exceptional,10
6306,358,An,Russia,Exceptional,10
6306,377,Anh,Vietnam,Exceptional,10
6306,2628,Yana,Belarus,Exceptional,10
6306,9735,Jeffery,Russia,Exceptional,10
6306,5339,Katerina,Israel,Exceptional,10
6306,114837,Yongxun,China,Bad,1.0
6306,1282,Lộc,Vietnam,Exceptional,10
6306,1730,Quân,Vietnam,Exceptional,10
6306,114818,Evg,Vietnam,Exceptional,10
6306,114085,Altyn,Kazakhstan,Fair,5.0
6306,165,Hoàng,Vietnam,Pleasant,6.0
6306,369,Hạnh,Vietnam,Exceptional,10
6306,318,Trọng,Vietnam,Exceptional,10
6306,457,Hoa,Vietnam,Poor,3.0
6306,492,Svetlana,Russia,Exceptional,10
6306,492,Svetlana,Russia,Exceptional,10
6306,11053,Pol,Vietnam,Exceptional,10
6306,492,Svetlana,Russia,Exceptional,10
6306,2545,Duyên,Vietnam,Exceptional,10
6302,266,Marianne,Canada,Wonderful,9.0
6302,5657,Scott,United Kingdom,Good value for money,8.0
6302,68,Paul,United Kingdom,Nice Convenient Hotel,8.0
6302,13499,Amalia,Romania,Very Good,8.0
6302,15663,Lucía,Spain,Wonderful,9.0
6302,110640,Martynov,Russia,Very Good,8.0
6302,2610,Oxana,Russia,"It’s a good hotel, big room, clean, nice bed. But we saw one bug, think it was just random. Overall we liked our stay th",8.0
6302,161,Janet,Singapore,Very comfortable stay.,8.0
6302,2037,Arthur,Thailand,Great place to stay near the center and airport,9.0
6302,508,Lam,United States,Very pleased and relax,9.0
6302,9358,Ajay,United States,We stayed here for three nights. The location is great very close to the night market. There are a few good restaurants,9.0
6302,3084,Jamal,Kuwait,It’s quite city nothing to do except 4 event,7.0
6302,407,Daniel,Australia,Wonderful,9.0
6302,68,Paul,United Kingdom,Enjoyable . Staff was very pleasant and breakfast good.,8.0
6302,152,Robert,United Kingdom,"Overall very good for price, excellent breakfast, shame a bit noisy",9.0
6302,13534,Daniil,Germany,Great price/value hotel,9.0
6302,3199,Danny,Netherlands,Well worth it.,9.0
6302,534,Max,New Zealand,Very Good,8.0
6302,34946,Nizar,Denmark,Good value,9.0
6302,621,Александр,Georgia,"Recommend this place! Great location, good attitude from hotel personnel. Room was looking exactly as it was here on boo",8.0
6302,208,Marie,France,Wonderful,9.0
6302,84,Jessica,United Kingdom,Nice hotel for the price!,8.0
6302,455,Charlie,Netherlands,Pleasant stay here,7.0
6302,92389,Makkai,Hungary,OK!,8.0
6302,461,Tan,Vietnam,Good location. Nice staff,9.0
6302,3465,Paulina,Poland,Wonderful,9.0
6302,5339,Katerina,United Kingdom,Lovely staff,9.0
6302,5530,Chris,United Kingdom,you get what you pay for food value,6.0
6302,87539,Ishana,South Africa,Pleasant,6.0
6302,106852,Jerald,Japan,Poor,3.0
6302,2765,Leeann,Australia,Exceptional,10
6302,1916,Prakash,Malaysia,Exceptional,10
6302,13561,Suresh,Malaysia,Exceptional,10
6302,639,Matthew,China,Exceptional,10
6302,4672,Wim,Netherlands,Amazing stay!,10
6302,65,Michael,Australia,Exceptional,10
6302,1664,Cindy,Australia,They even helped arrangea pram for for free. good seafood accross the road. Fresh cooked eggs included in breakfast. Nic,10
6302,23075,Branislav,Serbia,Exceptional,10
6302,4010,Caroline,Kenya,"Customer service was amazing,,food 10/10,,room elegant",10
6302,114082,Ayungavis,Indonesia,Amazing,10
6302,138,Nguyen,United States,Fine stay,4.0
6302,12908,Anca,Italy,Comfortable stay,10
6302,13391,Clifton,United States,Exceptional,10
6302,3296,Craig,Australia,Good base for moving on to next destination.,4.0
6302,1384,Lorraine,Singapore,Excellent value for money,10
6302,20423,Paddymeehan,Spain,Exceptional,10
6302,194,Igor,Poland,Exceptional,10
6302,67533,Sarang,India,Value for money hotel,10
6302,17097,Shams,Iran,"Best hotel in Phu Quoc, staff is friendly and professional especially Ben the manager!!!",10
6302,114451,Niphon,Thailand,Exceptional,10
6302,7349,Kayla,Australia,Exceptional,10
6302,4846,Jorge,United States,Great location!,10
6302,264,Patricia,United Arab Emirates,Potentially a comfortable  good value hotel once renovations are finished.,4.0
6302,4827,Christian,France,Short trip in Phu Quoc.,10
6302,113653,Fynngoh,Malaysia,Exceptional,10
6302,21846,Zaira,Italy,Very Good,8.0
6302,2300,Jérôme,France,Wonderful,9.0
6302,19844,Gennady,Israel,Wonderful,9.0
6302,1390,Regis,France,Good,7.0
6302,5334,Gabriele,Austria,,9.0
6302,208,Marie,France,Very Good,8.0
6302,34,Martin,Germany,Wonderful,9.0
6302,8193,Valeriya,Germany,Zu laut an der Hauptstrasse,7.0
6302,1543,Souad,Canada,Bon séjour dans l’ensemble,7.0
6302,36227,Chui,Hong Kong,Good,7.0
6302,2145,Helen,Israel,Good,7.0
6302,38417,Raisia,Germany,Very Good,8.0
6302,3,Lê,Vietnam,Good,7.0
6302,491,Ng,Hong Kong,Wonderful,9.0
6302,95543,Nahyun,Canada,"위치 좋고, 아침식사 맛있고 다 좋음 다만…",8.0
6302,31138,7,Japan,Very Good,8.0
6302,579,Elisabeth,Germany,Für kurzen Aufenthalt sehr gut geeignet,7.0
6302,2182,Joanna,Poland,Generalnie ok ale polecam brać bez śniadania,7.0
6302,3921,Yen,Vietnam,Wonderful,9.0
6302,9925,Ang,Netherlands,Dichtbij de nachtmarkt,8.0
6302,34031,Angel13-12,Russia,Идеальное соотношение цены и качества в центре,9.0
6302,113675,Tzeching,Taiwan,離夜市近、鄰近地區有很多spa，交通也便利,9.0
6302,1325,Kate,Russia,Wonderful,9.0
6302,492,Svetlana,South Korea,Wonderful,9.0
6302,8560,Khadija,France,Very Good,8.0
6302,4010,Caroline,France,Vous pouvez y aller,8.0
6302,100361,Siripen,Italy,Good,7.0
6302,33202,Shakhnoza,Uzbekistan,Отель соответствует действительности на фото в букинге,8.0
6302,4076,Eric,France,Good,7.0
6302,3943,Yoshikazu,Japan,ビーチではなくダウンタウンを楽しむの適したホテル,9.0
6302,1853,Teresa,Germany,Gut für ein paar Nächte,7.0
6302,4749,Jimmy,Germany,Good,7.0
6302,236,Thuỷ,Taiwan,Wonderful,9.0
6302,4609,Timo,Finland,Good,7.0
6302,114679,Azumi,Japan,最高！３日の予定を5泊に延泊した位です。また、是非泊まりに行きたいと思います♡,8.0
6302,3479,Chung,Vietnam,"Nơi ở thích hợp cho gia đình đi nghỉ dưỡng, ngắm biển",9.0
6302,3032,Frédéric,France,Pas très cher mais ne vaut pas plus...,4.0
6302,208,Marie,France,Fair,5.0
6302,4688,Younis,Oman,Pleasant,6.0
6302,4841,Eva,Sweden,Pleasant,6.0
6302,114553,Белькова,Russia,"Отличный отель , приятный персонал , завтраки сытные, расположение хорошее!",10
6302,3445,Taras,Ukraine,"Якщо шукаєте в центрі міста, то можете на пару днів зупинитись. Але це старий готель, який намагаються підтримувати в га",6.0
6302,4850,Javier,Spain,Nunca volvería.,1.0
6302,1517,Justyna,Poland,"Nieprzyjemny pobyt, dobrze że to była tylko jedna noc.",4.0
6302,508,Lam,Vietnam,Exceptional,10
6302,4584,Tuấn,Vietnam,Tốt,10
6302,785,Dung,Vietnam,Rất thích khách sạn với nhân viên nhiệt tình,10
6302,138,Nguyen,Vietnam,Tuyệt vời,10
6302,301,Vũ,Vietnam,Một kỳ nghỉ thú vị,10
6302,11960,Koji,Japan,お得意感満載です。,10
6302,5036,Adi,Israel,מלון טוב,10
6302,32243,Huanyang,Taiwan,整體來說舒適度尚可，但有螞蟻，真的不能接受,4.0
6302,346,Natalia,Poland,Świetny hotel,10
6302,14714,Nell,France,Très agréable,10
6302,114284,Medek,Hungary,Disappointing,4.0
6302,14480,Fernand,Canada,Tout était facile et à notre disposition.,10
6302,9048,Sujeong,South Korea,위치가 좋고 조식도 맛있고 친절함이 좋았어요,10
6302,39789,Angama,French Polynesia,Rien ne veut le contact locale des petites gens simple,4.0
6302,7109,Christer,Vietnam,Trevlig personal nära till stan men kommer inte,4.0
6302,2125,Martínez,Vietnam,Exceptional,10
6302,12974,Hiromi,Japan,Exceptional,10
6302,208,Marie,France,Exceptional,10
6302,114173,Hsuehling,Taiwan,Exceptional,10
6302,3,Lê,Vietnam,Tạm ổn,6.0
6302,9375,Estelle,France,Exceptional,10
6302,114859,Albahri,Malaysia,Exceptional,10
6302,432,Phạm,Vietnam,Exceptional,10
6302,3,Lê,Vietnam,Exceptional,10
6302,4749,Jimmy,Indonesia,Good,7.0
6302,7854,Ammar,United Arab Emirates,Wonderful,9.0
6302,116,Peter,New Zealand,Wonderful,9.0
6302,14,Thanh,Vietnam,Very Good,8.0
6302,1515,Anthony,Australia,Wonderful,9.0
6302,261,Alain,France,Wonderful,9.0
6302,87,Hoang,Vietnam,Very Good,8.0
6302,54884,Ganbaatar,Mongolia,Very Good,8.0
6302,655,Alex,Romania,Very Good,8.0
6302,2616,Pete,Australia,Very Good,8.0
6302,1439,June,Malaysia,Wonderful,9.0
6302,151,Richard,United Kingdom,Very Good,8.0
6302,39962,Chinzorig,Mongolia,Good,7.0
6302,3161,Rebecca,United Kingdom,Very Good,8.0
6302,156,Bruno,Croatia,Good,7.0
6302,233,Minh,United States,Wonderful,9.0
6302,1611,Mariana,Bulgaria,Exceptional,10
6302,41991,Abdulathim,Saudi Arabia,Exceptional,10
6302,138,Nguyen,Australia,Exceptional,10
6302,1975,Marcus,Australia,Exceptional,10
6302,90773,Ilga,Latvia,Exceptional,10
6302,6669,Barker,United Kingdom,Exceptional,10
6302,4895,Khai,Australia,Exceptional,10
6302,2659,Derek,United Kingdom,Exceptional,10
6302,3687,Tiffany,Canada,Fair,5.0
6302,1964,Mohammed,Saudi Arabia,Exceptional,10
6302,10434,Maija,Latvia,Very Good,8.0
6302,1075,Katarzyna,Poland,Good,7.0
6302,77,Mario,Germany,Wonderful,9.0
6302,10055,Jolanda,Netherlands,Very Good,8.0
6302,27876,Günay,Turkey,Wonderful,9.0
6302,3164,Anders,Norway,Very Good,8.0
6302,13697,Heikki,Finland,Wonderful,9.0
6302,1034,Xavier,France,Wonderful,9.0
6302,113356,Bonchic,Taiwan,Wonderful,9.0
6302,2292,Howard,Taiwan,Wonderful,9.0
6302,573,Khanh,Vietnam,Wonderful,9.0
6302,431,Elena,Puerto Rico,Wonderful,9.0
6302,3608,Kiều,Vietnam,Very Good,8.0
6302,48201,Alisara,Thailand,Very Good,8.0
6302,114627,Premtun,Thailand,Very Good,8.0
6302,113447,Nazarii,Poland,Very Good,8.0
6302,92104,Sian-wun,Taiwan,Very Good,8.0
6302,3457,Lorenzo,Italy,Very Good,8.0
6302,2111,Aigerim,Kazakhstan,Wonderful,9.0
6302,33,Silvia,Italy,Good,7.0
6302,5568,Ali,Turkey,Very Good,8.0
6302,3598,Mohammad,Saudi Arabia,Wonderful,9.0
6302,766,Nguyễn,Japan,Very Good,8.0
6302,312,Phong,Vietnam,Very Good,8.0
6302,36885,Yuming,Taiwan,Good,7.0
6302,338,Mai,Vietnam,Wonderful,9.0
6302,10701,Chia,Taiwan,Good,7.0
6302,1291,Đình,Norway,Wonderful,9.0
6302,112481,Giangvt,Vietnam,Wonderful,9.0
6302,740,Đức,Vietnam,Wonderful,9.0
6302,71867,Tulam,Vietnam,Wonderful,9.0
6302,268,Thu,Vietnam,Wonderful,9.0
6302,38253,Toshimi,Japan,Exceptional,10
6302,20337,Ozan,Austria,Exceptional,10
6302,807,Văn,Vietnam,Pleasant,6.0
6302,1531,Khuong,Vietnam,Exceptional,10
6302,4879,Hiếu,Vietnam,Exceptional,10
6302,3883,Dang,Vietnam,Exceptional,10
6302,21194,Dinara,Kazakhstan,Disappointing,4.0
6302,5339,Katerina,Czech Republic,Pleasant,6.0
6302,116,Peter,Austria,Fair,5.0
6302,3662,Đạt,Vietnam,Exceptional,10
6302,377,Anh,Vietnam,Exceptional,10
6302,14,Thanh,Vietnam,Exceptional,10
6302,626,Hưng,Vietnam,Exceptional,10
6302,268,Thu,Vietnam,Exceptional,10
6308,1848,Wendy,United Kingdom,The accommodation was very well presented and convenient.,9.0
6308,233,Minh,Singapore,Overwhelming Fish Smell!!! Poor Hygiene!!!,2.0
6308,323,Quang,Poland,OK,8.0
6308,458,Bảo,Vietnam,Tuyệt vời,8.0
6308,28401,空,Vietnam,Wonderful,9.0
6308,114576,Nobutoshi,Japan,Good,10
6308,431,Elena,Russia,Exceptional,10
6308,8886,Tôn,Vietnam,kỳ nghĩ dưỡng thật tuyệt vời.,10
6308,125,Tuan,Vietnam,rất tuyệt,10
6308,4265,Luc,Vietnam,Exceptional,10
6308,72026,Bakhodir,United States,Good,7.0
6308,8043,Ashwin,Singapore,Very Good,8.0
6308,233,Minh,Vietnam,Wonderful,9.0
6308,37,Thi,Vietnam,Very Good,8.0
6308,96446,Windsord,Vietnam,Exceptional,10
6308,14,Thanh,Vietnam,Terrrible,1.0
6308,835,Stanislav,Singapore,Exceptional,10
6308,138,Nguyen,Vietnam,Exceptional,10
6308,53015,Kyounghyun,South Korea,Wonderful,9.0
6308,15923,Miso,Germany,Wonderful,9.0
6308,56206,Chiup,Taiwan,Wonderful,9.0
6308,56206,Chiup,Taiwan,Good,7.0
6308,7827,Hideaki,Japan,Exceptional,10
6308,3500,Po,Taiwan,Exceptional,10
6308,344,Thảo,Vietnam,Exceptional,10
6310,655,Alex,Romania,Exceptional,10
6310,1612,Ngân,Vietnam,"Home sạch, đẹp, đúng như trong ảnh. Chị chủ tư vấn siêu nhiệt tình, takecare khách tốt😍",10
6309,3119,Vincent,United Kingdom,"Weak shower and aircon, but comfy beds",8.0
6309,554,Emma,Sri Lanka,Wonderful,9.0
6309,5578,Stephanie,Canada,Amazing value for beautiful rooms,9.0
6309,2049,Sam,United Kingdom,Exceptional,10
6309,1262,Jackie,United Kingdom,Ok,5.0
6309,3378,William,United Kingdom,Exceptional,10
6309,2404,Paula,Norway,"Beautiful, comfortable hotel",10
6309,2662,Tim,South Africa,A convenient enough location. With some tweaks this would be a fantastic spot.,6.0
6309,78312,Gauri,United Kingdom,Exceptional value for money AND facilities! Amazing shower and comfy bed!,10
6309,34890,Candis,United Kingdom,Just perfect,10
6309,11993,Jean-noël,France,Very Good,8.0
6309,262,Wayne,Vietnam,Very Good,8.0
6309,51,Brian,Vietnam,Very Good,8.0
6309,766,Nguyễn,Vietnam,Very Good,8.0
6312,708,Jennifer,Vietnam,Very Good,8.0
6312,583,Huỳnh,Austria,Bad,1.0
6312,16199,Tuệ,Vietnam,Bad,1.0
6312,813,Trần,Vietnam,Đoàn mình rất ưng căn này vì gần biển!,10
6312,2169,Hung,Vietnam,"Mọi thứ rất tốt, cách biển 100m",10
6312,115025,서지은,Vietnam,Bad,1.0
6312,766,Nguyễn,Vietnam,Good,7.0
6303,10842,Jody,Australia,A good option for a long term stay,8.0
6303,752,Jan,Czech Republic,Wonderful,9.0
6303,3834,Gregory,France,Exceptional,10
6303,5177,Sean,Canada,The vibe of the area is enhanced by this fantastic boutique stay,10
6303,187,John,Australia,Very Good,8.0
6303,391,Ekaterina,Russia,Exceptional,10
6303,109,Alexandra,Romania,Exceptional,10
6303,3687,Tiffany,United Kingdom,Good base in Da Nang,9.0
6303,1911,Tessa,Australia,100% recommend,10
6303,4308,Ngan,Vietnam,It is not my 1st experience and the satisfaction is still wonderful.,10
6303,4718,Ying,United States,Affordable hotel in a convenient location with excellent room and amenities,10
6303,9013,Seamus,Ireland,Exceptional,10
6303,2126,David,Australia,Wonderful,9.0
6303,18006,Alyson,United Kingdom,Lovely apartment,9.0
6303,12050,Jackson,Australia,Wonderful,9.0
6303,667,Louise,United Kingdom,Was fantastic,9.0
6303,44140,Caroline_np,France,Excellent value for a 2-bedroom apartment in this area,10
6303,110,Saida,Tunisia,Exceptional,10
6303,113891,Shikai,Taiwan,Exceptional,10
6303,7372,Melynda,Australia,Exceptional,10
6303,114877,Lingvist,Russia,Wonderful,9.0
6303,114116,Tritton,United Kingdom,Exceptional,10
6303,8664,Georgie,Australia,Awesome location and super clean and spacious apartment. We have stayed here 3 x now. love it!,10
6303,617,Maria,United Kingdom,Great value and good location,9.0
6303,5450,Susan,United Kingdom,Fabulous,10
6303,423,Nathan,Australia,Nice stay. Great set up.,10
6303,12624,Bader,Saudi Arabia,Wonderful,9.0
6303,7033,Hondo,Australia,A very nice small hotel in a great location.,10
6303,701,Khoa,Vietnam,Exceptional,10
6303,22,Joseph,Australia,Would stay again though.,8.0
6303,28022,Tana,Slovenia,Exceptional,10
6303,80326,Tahani,Saudi Arabia,Serene 🌸 Blissful 🌿,10
6303,5418,Jeremy,New Zealand,We would stay again.,9.0
6303,58229,Citizendog,Poland,Exceptional,10
6303,114434,Călin,Romania,Highly recommend for couples or groups of 4.,10
6303,20195,Eryn,Australia,Loved it and has made us consider moving to Da Nang!,10
6303,740,Đức,Vietnam,GOOD!,8.0
6303,708,Jennifer,Australia,Wonderful,9.0
6303,36910,Hebbani,India,"Excellent place , almost perfect!!",10
6303,8620,Lori,Canada,Nice apartments,9.0
6303,32981,Fernández-andreu,Netherlands,"Excellent stay in clean, comfortable and modern apartment",10
6303,4798,Corey,New Zealand,Great location.,9.0
6303,14345,Suzanna,Australia,Lovely apartment in a good location with a nice pool,9.0
6303,10748,Toni,New Zealand,Exceptional,10
6303,4499,Sofia,Italy,Nice and modern apartments in Da Nang,8.0
6303,3620,Janine,New Zealand,LIVIE Hotel,8.0
6303,14102,Devid,Italy,Our new spot in Da Nang,10
6303,764,Neil,Ireland,Fantastic,8.0
6303,308,Christine,United Kingdom,Perfect accommodation thank you. Wonderful.,10
6303,493,Vi,Canada,Wonderful,9.0
6303,208,Marie,United States,Exceptional,10
6303,1652,Alessia,Italy,Very Good,8.0
6303,4307,Pavlos,Germany,Exceptional,10
6303,5428,Alberto,Spain,Exceptional,10
6303,56,Jonathan,France,Exceptional,10
6303,28775,Bharti,Australia,Exceptional,10
6303,962,Anissa,Netherlands,Amazing stay near the beach,10
6303,8078,Hakim,Algeria,Very good 😊,10
6303,3431,Joel,Australia,Very Good,8.0
6303,268,Thu,Netherlands,Lovely place,8.0
6303,80742,Jhi,Australia,"Great apartment, perfect location",10
6303,3152,Jenny,Australia,A great modern apartment with a fabulous rooftop pool with views.,10
6303,3090,Ching,Singapore,A pleasant residence in the beach area with lots of choices for food.,8.0
6303,639,Matthew,Australia,Great stay..will stay again.,10
6303,99242,Joolz27,Australia,Disappointing,8.0
6303,4432,Florence,Australia,Exceptional,10
6303,215,Phuong,Germany,All in all it was really a pleasant stay. The staff was so nice and always available.,9.0
6303,8447,Nicky,Australia,Fabulous stay at an extremely comfortable apartment in an amazing location.,10
6303,5276,Kirsty,New Zealand,Loved it!,10
6303,2977,Melissa,Australia,Aussie family of 5 loved our stay in Da Nang,10
6303,59168,Changmin,Thailand,Exceptional,10
6303,1097,Yuri,United States,A great aparthotel,10
6303,3378,William,Indonesia,Great apartments for independent stay in the area,9.0
6303,2126,David,United Kingdom,"Relaxing space, great value",10
6303,98946,Dearne,Australia,"Great place, great location and great facilities",9.0
6303,3105,Kristian,Denmark,Fabulous location and good value for money!,9.0
6303,114365,Baid,India,Exceptional,10
6303,36910,Hebbani,India,Feel strongly to come back here again!!,10
6303,1050,Geoffrey,Australia,Very Good,8.0
6303,3161,Rebecca,Australia,I’d stay here again 💛,9.0
6303,2,Claire,United Kingdom,"Loved the location and the apartment was great, highly recommended.",10
6303,151,Richard,United Kingdom,LOVELY LIVIE!,9.0
6303,20743,Tze,Malaysia,Excellent service and accommodation,10
6303,851,Tony,Australia,Very Good,8.0
