HotelID,UserID,User,Country,Review,Rating
1701,48927,麒麟侯,China,我不会再选择入住这家，也推荐其他人。,3.0
1701,914,Kang,China,可以，很好,10
1701,673,Vu,Vietnam,Very Good,8.0
1702,84,Jessica,Sweden,Lovely place!,10
1702,22531,Jarosław,Poland,Very Good,8.0
1702,80,Olga,Russia,Чудесный отель на красивом пляже!,10
1702,265,Pavel,Russia,Exceptional,10
1702,4894,Sergey,Belarus,Wonderful,9.0
1702,715,Anna,Russia,Exceptional,10
1702,48475,Тулубенская,Russia,Включить завтраки,10
1702,497,Alexander,Australia,Exceptional,10
1702,2738,Kathrin,Sweden,Very Good,8.0
1702,391,Ekaterina,Russia,Exceptional,10
1702,49180,Akhmet,Kazakhstan,"Хороший отель, в шаговой доступности море, бассейны, night market и sailing club phu quoc",10
1702,4267,Michelle,Germany,"Nettes Hotel an einem ausgestorbenen Ort, Preis/-Leistung passt hier leider nicht",6.0
1702,146,Mihaela,Croatia,Exceptional,10
1702,21761,Read,United Kingdom,Fair,5.0
1702,13320,Максим,Russia,Exceptional,10
1702,663,Evgenii,Russia,Exceptional,10
1702,49015,Manar,Algeria,Very Good,8.0
1702,5445,Mariya,Russia,Exceptional,10
1702,5445,Mariya,Russia,Exceptional,10
1702,8,Philippe,France,Very Good,8.0
1702,3932,Fiona,Switzerland,Good,7.0
1703,2358,Yến,Vietnam,Exceptional,10
1703,10702,Đan,Vietnam,Oke,8.0
1703,3178,Bao,Vietnam,Exceptional,10
1703,4990,Trà,Vietnam,Exceptional,10
1703,293,Duy,Vietnam,Exceptional,10
1703,137,Kevin,Vietnam,Fair,5.0
1703,618,Anonymous,Vietnam,Fair,5.0
1705,350,Quỳnh,Vietnam,Wonderful,9.0
1704,11259,Hilaurio,Brazil,Sufficient for my travel purpose.,7.0
1704,1762,Daisy,United Kingdom,good value for money with nice staff,8.0
1704,2447,Erika,Netherlands,Disappointing,4.0
1704,48623,Danjuma,United States,This was not a good stay. The hotel is under construction and there was noise and dust everywhere. There were workers on,1.0
1704,124,Trang,Vietnam,Disappointing,4.0
1704,204,Pham,China,Perfect,10
1704,204,Pham,New Zealand,Exceptional,10
1704,3986,Luong,Vietnam,Wonderful,9.0
1704,37,Thi,Vietnam,Very Good,8.0
1704,651,Bùi,Vietnam,Very Good,8.0
1704,70,Марина,Russia,Wonderful,9.0
1704,459,Dương,Vietnam,rất thích nơi này. Mong có dịp sẽ quay lại với bạn bè người thân,9.0
1704,813,Trần,Vietnam,rất ưng ý từ nơi ở đến điểm tham quan và các món ăn ở Đà Lạt,9.0
1704,517,Nhung,Vietnam,Good,7.0
1704,48842,Micheline,Canada,Very Good,8.0
1704,37,Thi,Vietnam,Exceptional,10
1704,2909,Khac,Vietnam,Exceptional,10
1704,90,Iuliia,Kazakhstan,Exceptional,10
1704,14,Thanh,Vietnam,Tệ,1.0
1704,49137,K1078,Vietnam,rất ưng ý và sẽ quay lại,10
1704,206,Ha,Vietnam,Exceptional,10
1704,4865,Iris,Germany,"Schönes Hotel, könnte sauberer sein, kein Ausblick im 1. Stock.",6.0
1704,3133,Tùng,Vietnam,Fair,5.0
1704,252,Kim,Vietnam,Exceptional,10
1704,230,Linh,Vietnam,Exceptional,10
1704,1843,Trân,Vietnam,sẽ quay lại nhiều lần nữa.,10
1704,49336,Akdeniz,Germany,Very Good,8.0
